3433 Binding energies from the Atomic Mass Evaluation of 2016
# Electronic correction:  Be(Z) = 1.44381E-5*Z**2.39 + 1.55468E-12*Z**5.35 MeV            
# Num Nuc  A   N   Z        E        E/A     dE     Eval    S1n     dS1n  Eval    S1p     dS1p  Eval    S2n     dS2n  Eval    S2p     dS2p  Eval
   52  B  21  16   5   -88.262324 -4.202968 0.903000  1 -0.797000 1.703000  2  0.000001 0.000001  0 -1.410046 1.428369  1  0.000001 0.000001  0
   53  C   8   2   6   -24.811147 -3.101393 0.018240  0  0.000001 0.000001  0 -0.099112 0.043391  0  0.000001 0.000001  0 -2.111939 0.023688  0
   54  C   9   3   6   -39.035762 -4.337307 0.002133  0 14.224615 0.020373  0  1.299198 0.003133  0  0.000001 0.000001  0  1.435322 0.002203  0
   55  C  10   4   6   -60.319375 -6.031937 0.000070  0 21.283613 0.002203  0  4.006421 0.000970  0 35.508228 0.018310  0  3.820291 0.000102  0
   56  C  11   5   6   -73.439971 -6.676361 0.000055  0 13.120596 0.000125  0  8.689817 0.000075  0 34.404209 0.002188  0 15.276355 0.000136  0
   57  C  12   6   6   -92.160683 -7.680057 0.000001  0 18.720712 0.000055  0 15.956307 0.000011  0 31.841308 0.000070  0 27.184779 0.000080  0
   58  C  13   7   6   -97.106992 -7.469769 0.000001  0  4.946309 0.000001  0 17.532992 0.001320  0 23.667021 0.000055  0 31.629448 0.000242  0
   59  C  14   8   6  -105.283421 -7.520244 0.000001  0  8.176429 0.000001  0 20.830650 0.001001  0 13.122738 0.000001  0 36.635153 0.001908  0
   60  C  15   9   6  -106.501490 -7.100099 0.000795  0  1.218069 0.000795  0 21.079150 0.022005  0  9.394498 0.000795  0 38.363231 0.010974  0
   61  C  16  10   6  -110.751819 -6.921989 0.003584  0  4.250329 0.004379  0 22.552720 0.024614  0  5.468398 0.003584  0 40.837657 0.135828  0
   62  C  17  11   6  -111.485363 -6.557963 0.017357  0  0.733544 0.020941  0 23.369207 0.041933  0  4.983873 0.018152  0 43.371209 0.183152  0
   63  C  18  12   6  -115.669313 -6.426073 0.030006  0  4.183950 0.047363  0 26.085650 0.234108  0  4.917494 0.033590  0 47.105149 0.195798  0
   64  C  19  13   6  -116.246142 -6.118218 0.098382  0  0.576829 0.128388  0 26.667478 0.302538  0  4.760779 0.115739  0  0.000001 0.000001  0
   65  C  20  14   6  -119.227655 -5.961383 0.230620  0  2.981513 0.329002  0 29.555285 0.755989  0  3.558342 0.260626  0  0.000001 0.000001  0
   66  C  21  15   6  -119.152955 -5.673950 0.588000  1 -0.074700 0.818620  1 30.093631 1.388000  2  2.906813 0.686382  1  0.000001 0.000001  0
   67  C  22  16   6  -119.262649 -5.421029 0.231484  0  0.109694 0.819484  1 31.000325 1.134484  1  0.034994 0.462104  0  0.000001 0.000001  0
   68  C  23  17   6  -116.769955 -5.076955 0.989000  1 -2.492694 1.220484  1  0.000001 0.000001  0 -2.383000 1.577000  2  0.000001 0.000001  0
   69  N  10   3   7   -36.435209 -3.643521 0.400000  0  0.000001 0.000001  0 -2.600553 0.402133  0  0.000001 0.000001  0 -1.301355 0.401000  0
   70  N  11   4   7   -59.002995 -5.363909 0.046156  0 22.567786 0.446156  0 -1.316380 0.046226  0  0.000001 0.000001  0  2.690041 0.047056  0
   71  N  12   5   7   -74.039797 -6.169983 0.000996  0 15.036802 0.047152  0  0.599826 0.001051  0 37.604588 0.400996  0  9.289643 0.001016  0
